D058165	22q11 Deletion Syndrome
D065705	Hemimegalencephaly
D006616	Hip Contracture
D006617	Hip Dislocation
D006618	Hip Dislocation, Congenital
D016142	Holoprosencephaly
D006833	Hydrarthrosis
D015576	Hyperostosis
D006957	Hyperostosis Frontalis Interna
D006958	Hyperostosis, Cortical, Congenital
D004057	Hyperostosis, Diffuse Idiopathic Skeletal
D015218	Hyperostosis, Sternocostoclavicular
D006972	Hypertelorism
D020514	Hypokalemic Periodic Paralysis
D055959	Intervertebral Disc Degeneration
D007405	Intervertebral Disc Displacement
D059325	Intra-Abdominal Hypertension
D020386	Isaacs Syndrome
D054061	Ischemic Contracture
D007569	Jaw Abnormalities
D007570	Jaw Cysts
D007571	Jaw Diseases
D007573	Jaw Neoplasms
D007575	Jaw, Edentulous
D007576	Jaw, Edentulous, Partially
D016916	Joint Deformities, Acquired
D007592	Joint Diseases
D004204	Joint Dislocations
D007593	Joint Instability
D007594	Joint Loose Bodies
D057767	Kashin-Beck Disease
D007625	Kearns-Sayre Syndrome
D007714	Klippel-Feil Syndrome
D031221	Knee Dislocation
D007738	Kyphosis
D044542	LEOPARD Syndrome
D015826	Langer-Giedion Syndrome
D046150	Laron Syndrome
D055092	Laryngomalacia
D007870	Leg Length Inequality
D007873	Legg-Calve-Perthes Disease
D017880	Limb Deformities, Congenital
D055947	Loeys-Dietz Syndrome
D008141	Lordosis
D038061	Lower Extremity Deformities, Congenital
D017241	MELAS Syndrome
D017243	MERRF Syndrome
D008336	Mandibular Diseases
D008339	Mandibular Neoplasms
D008342	Mandibulofacial Dysostosis
D008382	Marfan Syndrome
D008417	Mastoiditis
D008439	Maxillary Diseases
D008441	Maxillary Neoplasms
D019767	Maxillofacial Abnormalities
D058923	Medial Tibial Stress Syndrome
D058627	Megalencephaly
D008557	Melorheostosis
D000070591	Metatarsal Valgus
D037061	Metatarsalgia
D000070592	Metatarsus Varus
D008831	Microcephaly
D008844	Micrognathism
D017237	Mitochondrial Encephalomyopathies
D017240	Mitochondrial Myopathies
D009011	Monteggia's Fracture
D000070607	Morton Neuroma
D009081	Mucolipidoses
D050336	Mulibrey Nanism
D009120	Muscle Cramp
D019042	Muscle Neoplasms
D009127	Muscle Rigidity
D009128	Muscle Spasticity
D018908	Muscle Weakness
D009135	Muscular Diseases
D020966	Muscular Disorders, Atrophic
D009136	Muscular Dystrophies
D049288	Muscular Dystrophies, Limb-Girdle
D020388	Muscular Dystrophy, Duchenne
D020389	Muscular Dystrophy, Emery-Dreifuss
D020391	Muscular Dystrophy, Facioscapulohumeral
D039141	Muscular Dystrophy, Oculopharyngeal
D009139	Musculoskeletal Abnormalities
D059352	Musculoskeletal Pain
D063806	Myalgia
D009209	Myofascial Pain Syndromes
D009212	Myoglobinuria
D017696	Myopathies, Nemaline
D020914	Myopathies, Structural, Congenital
D020512	Myopathy, Central Core
D009220	Myositis
D009221	Myositis Ossificans
D018979	Myositis, Inclusion Body
D009224	Myotonia Congenita
D020967	Myotonic Disorders
D009223	Myotonic Dystrophy
D000081030	Myotoxicity
D009261	Nail-Patella Syndrome
D000089202	Non-Radiographic Axial Spondyloarthritis
D009631	Nonodontogenic Cysts
D009634	Noonan Syndrome
D009669	Nose Neoplasms
D018333	Odontogenic Cyst, Calcifying
D009807	Odontogenic Cysts
D017246	Ophthalmoplegia, Chronic Progressive External
D055622	Orbital Myositis
D009918	Orbital Neoplasms
D009958	Orofaciodigital Syndromes
D017887	Ossification of Posterior Longitudinal Ligament
D010000	Osteitis
D010001	Osteitis Deformans
D010002	Osteitis Fibrosa Cystica
D010003	Osteoarthritis
D015207	Osteoarthritis, Hip
D020370	Osteoarthritis, Knee
D055013	Osteoarthritis, Spine
D010004	Osteoarthropathy, Primary Hypertrophic
D010005	Osteoarthropathy, Secondary Hypertrophic
D010007	Osteochondritis
D010008	Osteochondritis Dissecans
D010009	Osteochondrodysplasias
D015831	Osteochondroma
D018216	Osteochondromatosis
D055034	Osteochondrosis
D010013	Osteogenesis Imperfecta
D010014	Osteolysis
D010015	Osteolysis, Essential
D010018	Osteomalacia
D010019	Osteomyelitis
D010020	Osteonecrosis
D010022	Osteopetrosis
D054850	Osteophyte
D010023	Osteopoikilosis
D010024	Osteoporosis
D015663	Osteoporosis, Postmenopausal
D010026	Osteosclerosis
D010157	Palatal Neoplasms
D054975	Pallister-Hall Syndrome
D010245	Paralyses, Familial Periodic
D020513	Paralysis, Hyperkalemic Periodic
D031222	Patellar Dislocation
D046788	Patellofemoral Pain Syndrome
D066166	Pectus Carinatum
D010489	Periarthritis
D010509	Periodontal Cyst
D010522	Periostitis
D059270	Petrositis
D010855	Pierre Robin Syndrome
D059041	Plagiocephaly
D049068	Plagiocephaly, Nonsynostotic
D010985	Platybasia
D011045	Poland Syndrome
D011081	Polychondritis, Relapsing
D017689	Polydactyly
D011111	Polymyalgia Rheumatica
D017285	Polymyositis
D065708	Porencephaly
D055010	Posterior Cervical Sympathetic Syndrome
D037081	Posterior Tibial Tendon Dysfunction
D016262	Postpoliomyelitis Syndrome
D059369	Pott Puffy Tumor
D011378	Prognathism
D016715	Proteus Syndrome
D011547	Pseudohypoparathyroidism
D011556	Pseudopseudohypoparathyroidism
D046548	Pubic Symphysis Diastasis
D058631	Pycnodysostosis
D052880	Pyomyositis
D011842	Radicular Cyst
D063173	Retrognathia
D012206	Rhabdomyolysis
D012216	Rheumatic Diseases
D012213	Rheumatic Fever
D012215	Rheumatic Nodule
D012218	Rheumatoid Nodule
D056653	Rheumatoid Vasculitis
D012279	Rickets
D063730	Rickets, Hypophosphatemic
D000070656	Rotator Cuff Tear Arthropathy
D012415	Rubinstein-Taybi Syndrome
D058566	Sacroiliitis
D000072042	Salter-Harris Fractures
D058088	Sarcoglycanopathies
D012544	Scheuermann Disease
D012600	Scoliosis
D012779	Short Rib-Polydactyly Syndrome
D012783	Shoulder Dislocation
D019534	Shoulder Impingement Syndrome
D020069	Shoulder Pain
D056730	Silver-Russell Syndrome
D012859	Sjogren's Syndrome
D019292	Skull Base Neoplasms
D012888	Skull Neoplasms
D060048	Slipped Capital Femoral Epiphyses
D013121	Spinal Curvatures
D013122	Spinal Diseases
D013125	Spinal Neoplasms
D055035	Spinal Osteochondrosis
D013128	Spinal Osteophytosis
D013130	Spinal Stenosis
D025241	Spondylarthritis
D025242	Spondylarthropathies
D013166	Spondylitis
D013167	Spondylitis, Ankylosing
D013168	Spondylolisthesis
D013169	Spondylolysis
D055009	Spondylosis
D016706	Still's Disease, Adult-Onset
D013576	Syndactyly
D013580	Synostosis
D013585	Synovitis
D013586	Synovitis, Pigmented Villonodular
D000070558	Talipes
D000070589	Talipes Cavus
D000070604	Tarsal Coalition
D013705	Temporomandibular Joint Disorders
D013706	Temporomandibular Joint Dysfunction Syndrome
D052256	Tendinopathy
D053682	Tendon Entrapment
D013716	Tennis Elbow
D013717	Tenosynovitis
D013796	Thanatophoric Dysplasia
D013991	Tietze's Syndrome
D055089	Tracheobronchomalacia
D055090	Tracheomalacia
D052582	Trigger Finger Disorder
D014394	Tuberculosis, Osteoarticular
D014399	Tuberculosis, Spinal
D038062	Upper Extremity Deformities, Congenital
D056846	Weill-Marchesani Syndrome
D014924	Wissler's Syndrome
D000083143	X-Linked Emery-Dreifuss Muscular Dystrophy
