D058165	22q11 Deletion Syndrome
D015161	Dementia, Multi-Infarct
D015140	Dementia, Vascular
D003914	Dextrocardia
D004062	DiGeorge Syndrome
D003925	Diabetic Angiopathies
D058065	Diabetic Cardiomyopathies
D017719	Diabetic Foot
D003930	Diabetic Retinopathy
D021922	Discrete Subaortic Stenosis
D004310	Double Outlet Right Ventricle
D004374	Ductus Arteriosus, Patent
D004418	Dyspnea, Paroxysmal
D004437	Ebstein Anomaly
D054083	Ectopia Cordis
D004489	Edema, Cardiac
D004535	Ehlers-Danlos Syndrome
D004541	Eisenmenger Complex
D000083262	Embolic Stroke
D004617	Embolism
D016769	Embolism and Thrombosis
D004618	Embolism, Air
D004619	Embolism, Amniotic Fluid
D017700	Embolism, Cholesterol
D004620	Embolism, Fat
D019320	Embolism, Paradoxical
D004692	Endarteritis
D004694	Endocardial Cushion Defects
D004695	Endocardial Fibroelastosis
D004696	Endocarditis
D004697	Endocarditis, Bacterial
D059905	Endocarditis, Non-Infective
D004698	Endocarditis, Subacute Bacterial
D057867	Endoleak
D004719	Endomyocardial Fibrosis
D004916	Erythromelalgia
D000075222	Essential Hypertension
D000795	Fabry Disease
D005352	Fibromuscular Dysplasia
D054092	Foramen Ovale, Patent
D020252	Gastric Antral Vascular Ectasia
D013700	Giant Cell Arteritis
D052120	Glycogen Storage Disease Type IIb
D014890	Granulomatosis with Polyangiitis
D053421	Hand-Arm Vibration Syndrome
D006322	Heart Aneurysm
D006323	Heart Arrest
D006327	Heart Block
D006330	Heart Defects, Congenital
D006331	Heart Diseases
D006333	Heart Failure
D054144	Heart Failure, Diastolic
D054143	Heart Failure, Systolic
D006338	Heart Neoplasms
D006341	Heart Rupture
D006342	Heart Rupture, Post-Infarction
D006343	Heart Septal Defects
D006344	Heart Septal Defects, Atrial
D006345	Heart Septal Defects, Ventricular
D006349	Heart Valve Diseases
D016127	Heart Valve Prolapse
D006392	Hemangioma, Cavernous
D020786	Hemangioma, Cavernous, Central Nervous System
D006407	Hematoma, Epidural, Cranial
D006408	Hematoma, Subdural
D020199	Hematoma, Subdural, Acute
D020200	Hematoma, Subdural, Chronic
D046648	Hematoma, Subdural, Intracranial
D000083302	Hemorrhagic Stroke
D006484	Hemorrhoids
D020141	Hemostatic Disorders
D006504	Hepatic Veno-Occlusive Disease
D056828	Hereditary Angioedema Type III
D056829	Hereditary Angioedema Types I and II
D059446	Heterotaxy Syndrome
D006940	Hyperemia
D006973	Hypertension
D006974	Hypertension, Malignant
D046110	Hypertension, Pregnancy-Induced
D006976	Hypertension, Pulmonary
D006977	Hypertension, Renal
D006978	Hypertension, Renovascular
D058437	Hypertensive Retinopathy
D017379	Hypertrophy, Left Ventricular
D017380	Hypertrophy, Right Ventricular
D018636	Hypoplastic Left Heart Syndrome
D007022	Hypotension
D007024	Hypotension, Orthostatic
D020925	Hypoxia-Ischemia, Brain
D011695	IgA Vasculitis
D017543	Iliac Aneurysm
D020243	Infarction, Anterior Cerebral Artery
D020244	Infarction, Middle Cerebral Artery
D020762	Infarction, Posterior Cerebral Artery
D056989	Inferior Wall Myocardial Infarction
D000074021	Interatrial Block
D007383	Intermittent Claudication
D059325	Intra-Abdominal Hypertension
D002532	Intracranial Aneurysm
D020765	Intracranial Arterial Diseases
D002537	Intracranial Arteriosclerosis
D002538	Intracranial Arteriovenous Malformations
D020766	Intracranial Embolism
D002542	Intracranial Embolism and Thrombosis
D020299	Intracranial Hemorrhage, Hypertensive
D020198	Intracranial Hemorrhage, Traumatic
D020300	Intracranial Hemorrhages
D020767	Intracranial Thrombosis
D002546	Ischemic Attack, Transient
D054061	Ischemic Contracture
D000083242	Ischemic Stroke
D056830	Isolated Noncompaction of the Ventricular Myocardium
D029593	Jervell-Lange Nielsen Syndrome
D065907	Karoshi Death
D007619	Kartagener Syndrome
D007625	Kearns-Sayre Syndrome
D007715	Klippel-Trenaunay-Weber Syndrome
D000074962	Kounis Syndrome
D044542	LEOPARD Syndrome
D014854	Lateral Medullary Syndrome
D020227	Lateral Sinus Thrombosis
D057831	Lemierre Syndrome
D007925	Leriche Syndrome
D007969	Leukomalacia, Periventricular
D007979	Levocardia
D054068	Livedo Reticularis
D000090122	Livedoid Vasculopathy
D055947	Loeys-Dietz Syndrome
D008133	Long QT Syndrome
D008151	Lown-Ganong-Levine Syndrome
D020945	Lupus Vasculitis, Central Nervous System
D008185	Lutembacher Syndrome
D017241	MELAS Syndrome
D000088442	MINOCA
D054853	Malignant Atrophic Papulosis
D008382	Marfan Syndrome
D059468	Masked Hypertension
D062108	May-Thurner Syndrome
D000074742	Median Arcuate Ligament Syndrome
D065666	Mesenteric Ischemia
D008641	Mesenteric Vascular Occlusion
D000071071	Microaneurysm
D055953	Microscopic Polyangiitis
D017566	Microvascular Angina
D008944	Mitral Valve Insufficiency
D008945	Mitral Valve Prolapse
D008946	Mitral Valve Stenosis
D009072	Moyamoya Disease
D009080	Mucocutaneous Lymph Node Syndrome
D009101	Multiple Myeloma
D054084	Myocardial Bridging
D009203	Myocardial Infarction
D017202	Myocardial Ischemia
D015428	Myocardial Reperfusion Injury
D017682	Myocardial Stunning
D009205	Myocarditis
D000072658	Non-ST Elevated Myocardial Infarction
D009634	Noonan Syndrome
D018917	Optic Neuropathy, Ischemic
D058687	Out-of-Hospital Cardiac Arrest
D017574	Parasystole
D010382	Peliosis Hepatis
D010490	Pericardial Effusion
D010493	Pericarditis
D010494	Pericarditis, Constrictive
D010495	Pericarditis, Tuberculous
D058729	Peripheral Arterial Disease
D016491	Peripheral Vascular Diseases
D000083402	Persistent Left Superior Vena Cava
D010689	Phlebitis
D010899	Pituitary Apoplexy
D011026	Pneumopericardium
D010488	Polyarteritis Nodosa
D000083082	Popliteal Artery Entrapment Syndrome
D000080942	Post-Cardiac Arrest Syndrome
D057774	Post-Exercise Hypotension
D011185	Postpericardiotomy Syndrome
D011186	Postphlebitic Syndrome
D054070	Postthrombotic Syndrome
D011226	Pre-Excitation Syndromes
D011227	Pre-Excitation, Mahaim-Type
D011249	Pregnancy Complications, Cardiovascular
D058246	Prehypertension
D055031	Primary Graft Dysfunction
D011561	Pseudoxanthoma Elasticum
D018633	Pulmonary Atresia
D011655	Pulmonary Embolism
D011660	Pulmonary Heart Disease
D054060	Pulmonary Infarction
D011662	Pulmonary Subvalvular Stenosis
D011665	Pulmonary Valve Insufficiency
D011666	Pulmonary Valve Stenosis
D011668	Pulmonary Veno-Occlusive Disease
D011694	Purpura, Hyperglobulinemic
D020146	Putaminal Hemorrhage
D000082902	Quadricuspid Aortic Valve
D011928	Raynaud Disease
D012078	Renal Artery Obstruction
D015427	Reperfusion Injury
D000080346	Retinal Arterial Macroaneurysm
D015356	Retinal Artery Occlusion
D058456	Retinal Telangiectasis
D031300	Retinal Vasculitis
D012170	Retinal Vein Occlusion
D012214	Rheumatic Heart Disease
D056653	Rheumatoid Vasculitis
D029597	Romano-Ward Syndrome
D000072657	ST Elevation Myocardial Infarction
D020225	Sagittal Sinus Thrombosis
D058088	Sarcoglycanopathies
D012587	Scimitar Syndrome
D012614	Scurvy
D012770	Shock, Cardiogenic
D012790	Shwartzman Phenomenon
D012791	Shy-Drager Syndrome
D012804	Sick Sinus Syndrome
D058529	Single Umbilical Artery
D012848	Sinoatrial Block
D054138	Sinus Arrest, Cardiac
D020779	Sinus Pericranii
D012851	Sinus Thrombosis, Intracranial
D018860	Sneddon Syndrome
D020760	Spinal Cord Ischemia
D020758	Spinal Cord Vascular Diseases
D013159	Splenic Infarction
D000071079	Stenosis, Pulmonary Artery
D000071078	Stenosis, Pulmonary Vein
D020521	Stroke
D059409	Stroke, Lacunar
D013341	Sturge-Weber Syndrome
D013345	Subarachnoid Hemorrhage
D020206	Subarachnoid Hemorrhage, Traumatic
D013349	Subclavian Steal Syndrome
D013479	Superior Vena Cava Syndrome
D055955	Susac Syndrome
D013589	Syphilis, Cardiovascular
D056647	Systemic Vasculitis
D013610	Tachycardia
D013611	Tachycardia, Atrioventricular Nodal Reentry
D013612	Tachycardia, Ectopic Atrial
D013613	Tachycardia, Ectopic Junctional
D013614	Tachycardia, Paroxysmal
D054139	Tachycardia, Reciprocating
D013615	Tachycardia, Sinoatrial Nodal Reentry
D013616	Tachycardia, Sinus
D013617	Tachycardia, Supraventricular
D017180	Tachycardia, Ventricular
D013625	Takayasu Arteritis
D054549	Takotsubo Cardiomyopathy
D013683	Telangiectasia, Hereditary Hemorrhagic
D013684	Telangiectasis
D013771	Tetralogy of Fallot
D013901	Thoracic Outlet Syndrome
D013919	Thromboangiitis Obliterans
D013923	Thromboembolism
D000090882	Thromboinflammation
D013924	Thrombophlebitis
D013927	Thrombosis
D000083244	Thrombotic Stroke
D016171	Torsades de Pointes
D014188	Transposition of Great Vessels
D018785	Tricuspid Atresia
D014262	Tricuspid Valve Insufficiency
D014263	Tricuspid Valve Prolapse
D014264	Tricuspid Valve Stenosis
D014286	Trilogy of Fallot
D000073839	Trisomy 13 Syndrome
D000073842	Trisomy 18 Syndrome
D014339	Truncus Arteriosus, Persistent
D014381	Tuberculosis, Cardiovascular
D014424	Turner Syndrome
D000080039	Univentricular Heart
D056824	Upper Extremity Deep Vein Thrombosis
D014646	Varicocele
D014647	Varicose Ulcer
D014648	Varicose Veins
D000088323	Vascular Depression
D014652	Vascular Diseases
D016157	Vascular Fistula
D014653	Vascular Headaches
D054079	Vascular Malformations
D019043	Vascular Neoplasms
D000073872	Vascular Ring
D057772	Vascular System Injuries
D014657	Vasculitis
D020293	Vasculitis, Central Nervous System
D018366	Vasculitis, Leukocytoclastic, Cutaneous
D056987	Vasoplegia
D020301	Vasospasm, Intracranial
D054080	Vein of Galen Malformations
D014689	Venous Insufficiency
D054556	Venous Thromboembolism
D020246	Venous Thrombosis
D018754	Ventricular Dysfunction
D018487	Ventricular Dysfunction, Left
D018497	Ventricular Dysfunction, Right
D014693	Ventricular Fibrillation
D054141	Ventricular Flutter
D014694	Ventricular Outflow Obstruction
D018879	Ventricular Premature Complexes
D018658	Ventricular Septal Rupture
D020217	Vertebral Artery Dissection
D014715	Vertebrobasilar Insufficiency
D008258	Waldenstrom Macroglobulinemia
D059466	White Coat Hypertension
D018980	Williams Syndrome
D014927	Wolff-Parkinson-White Syndrome
D006623	von Hippel-Lindau Disease
